SampleID,num,AGA_severity,g__Corynebacterium;,g__Acinetobacter;,g__Staphylococcus;,g__Rothia;,g__Neisseria;,g__Haemophilus;,g__Prevotella;,g__Moraxella;,g__Streptococcus;,g__Pseudomonas;,g__Micrococcus;,g__Rhizobium;,g__Propionibacterium;,g__Bacteroides;,g__Streptophyta_Group;,g__Brevundimonas;,g__Veillonella;,g__Paracoccus;,g__Enhydrobacter;,g__Kocuria;,g__Lactobacillus;,g__Bartonella;,g__Finegoldia;,g__Macrococcus;,g__Anaerococcus;,g__Peptoniphilus;,g__Penicillium;,g__Aspergillus;,g__Cladosporium;,g__Alternaria;,g__Malassezia;,g__Uncultured_Aspergillus;
AWGB16SAA2212635-15-11,55,Healthy,0.230021251,0.000332711,0.488033142,0.006106854,0.002436302,0.00028978,0.001588426,0.001534763,0.0000859,0.001159122,0.005945865,0.000118059,0.195988151,0.0000966,0.050625711,0.000998133,0.0000429,0.010432095,0.001792346,0.0000537,0.000568828,0.0000644,0.00053663,0,0.000236117,0.000912272,0.000113832,0.003073467,0.046671169,0.038019928,0.853338696,0.000174543
AWGB16SAA2212637-15-13,56,Healthy,0.290198544,0.000411115,0.347186283,0.000386931,0.0000121,0.000120916,0.00090687,0.001644458,0.00128171,0.000967,0.00632391,0.000157191,0.294587797,0.000181374,0.0285,0.000882687,0.000157191,0.010096491,0.003748398,0.000701,0.001293802,0.0000725,0.007085681,0.0000242,0.0025,0.000580397,0.005153797,0.010740481,0.050933564,0.065406668,0.826682131,0.003169054
AWGB16SAA2212639-15-15,57,Healthy,0.274461127,0.000405796,0.38219989,0.000978684,0.001957368,0.00032225,0.001336739,0.16893037,0.000417731,0.005370826,0.006337574,0,0.120998735,0.000131287,0.003866994,0.000883202,0.000179028,0.009357172,0.019549805,0.000274509,0.000262574,0.000155157,0.000190963,0.000226768,0.000214833,0.000990619,0,0.005269983,0.05181019,0.026055881,0.815641068,0.000482516
AWGB16SAA2212641-15-17,58,Healthy,0.327022196,0.000476687,0.491717563,0.001564129,0.001295993,0.000327722,0.001579026,0.016937286,0.001206614,0.003962461,0.016520185,0.000283033,0.062669447,0.000163861,0.052212126,0.004543423,0.000163861,0.011410696,0.003128259,0.0000596,0.000327722,0.000372412,0.000417101,0.0000596,0.000312826,0.0012662,0.000133633,0.005968926,0.05798767,0.001354144,0.896728672,0
AWGB16SAA2212643-16-11,59,Healthy,0.282331945,0.000335298,0.332183224,0.001860365,0.003147477,0.000562436,0.002433616,0.001276297,0.003298902,0.000822022,0.005364772,0.0000433,0.207235953,0.008360824,0.023405981,0.0000324,0.005137635,0.009236926,0.002931156,0.000724677,0.104061435,0.000216321,0.001611595,0.000129793,0.002606674,0.000648964,0.0000755,0.025270455,0.002895486,0.0226,0.861436329,0.000293745
AWGB16SAA2212645-16-13,60,Healthy,0.449105741,0.000310035,0.277229833,0.00187959,0.001734261,0.00000969,0.000881663,0.001075436,0.001414537,0.000649137,0.005377178,0.00570659,0.217518941,0.001453291,0.003158486,0.009146046,0.000939795,0.00988238,0.001714884,0.0000581,0.000339101,0.0000581,0.003400701,0.000339101,0.006210398,0.000406922,0.000131551,0.02023416,0.057915248,0.033191916,0.855442093,0.001405949
AWGB16SAA2212647-16-15,61,Healthy,0.513146296,0.000235569,0.261824068,0.002948418,0.001337427,0.000265966,0.000949877,0.000866288,0.002059333,0.000607921,0.003997082,0.0000836,0.184207727,0.004597404,0.0084881,0.000638317,0.000258367,0.008495699,0.002811636,0.0000608,0.000919481,0.0000608,0.000273565,0.0000228,0.000197574,0.000645916,0.000120636,0.00131192,0.043549725,0.031667044,0.790560205,0
AWGB16SAA2212754-12-11,62,Healthy,0.21583789,0.000309295,0.475735323,0.004988626,0.002544199,0.000309295,0.001626292,0.001187293,0.000498863,0.000987748,0.005926488,0.000229477,0.246597757,0.000199545,0.028285509,0.000977771,0.0000399,0.00806162,0.003741469,0.0000499,0.000179591,0.0000698,0.000478908,0.0000698,0.000229477,0.000838089,0.014924494,0.002963013,0.065405142,0.060918534,0.853128841,0.0000505
AWGB16SAA2212651-11-11,63,Healthy,0.402229147,0.000400833,0.322010887,0.002159325,0.001655051,0.000349112,0.000219811,0.029066836,0.000982687,0.000387903,0.006671925,0.000258602,0.217910757,0.001254218,0.002379136,0.000400833,0.0000129,0.003775585,0.005094454,0.0000517,0.000853386,0.0000776,0.000362042,0.0000517,0.000323252,0.001060267,0.000144946,0.001947711,0.009448662,0.001784647,0.922327107,0.000163064
AWGB16SAA2212653-11-13,64,Healthy,0.558226857,0.000243229,0.246209041,0.001831822,0.001086932,0.000630876,0.00205985,0.000760092,0.002105455,0.002508304,0.003846066,0.00016722,0.155894894,0.001907831,0.0049482,0.000471257,0.00132256,0.007053655,0.002318281,0.0000684,0.003929676,0.000532064,0.001026124,0.000144418,0.0000912,0.000615675,0.000131198,0.002282845,0.049050564,0.0360882,0.902878484,0.0000525
AWGB16SAA2212655-11-15,65,Healthy,0.18099905,0.000247408,0.244407378,0.004604985,0.002250617,0.00000798,0.00035116,0.315269874,0.000407026,0.000271351,0.021508552,0.000119714,0.20941907,0.001811666,0.002075037,0.002035132,0.0000399,0.008443802,0.003264192,0.0000239,0.00105348,0.0000559,0.000391065,0.0000559,0.000207504,0.000678377,0.000114344,0.004837631,0.011777434,0.002805826,0.919440242,0.000747634
AWGB16SAA2212657-11-17,66,Healthy,0.235820504,0.000338713,0.425007922,0.006686844,0.002731554,0.000295008,0.001595227,0.001354851,0.000131115,0.001180031,0.006162385,0.000163893,0.256372715,0.000437049,0.043519115,0.000841319,0,0.012423107,0.00274248,0.0000656,0.000251303,0.0000656,0.000557237,0.0000328,0.000295008,0.000928728,0.01051297,0.003988636,0.001499209,0.000037,0.983508704,0.000240614
AWGB16SAA2212659-12-11,67,Healthy,0.376474031,0.00039023,0.245930027,0.008621636,0.009048449,0.003414509,0.005024206,0.00148775,0.003694987,0.000451203,0.006682682,0.000061,0.276416716,0.015462849,0.022096753,0.001060937,0.000134141,0.009365511,0.00451203,0.000109752,0.006707072,0.0000976,0.00148775,0.0000854,0.000170725,0.001012158,0.00011566,0.001012029,0.148623641,0.114619477,0.730612422,0.000802394
AWGB16SAA2212661-12-13,68,Healthy,0.393663436,0.000497789,0.116760856,0.002342538,0.001171269,0.000717402,0.009545841,0.001756903,0.004758279,0.003016017,0.004860765,0.005065737,0.362829785,0.021522064,0.027744429,0.001039501,0.000146409,0.011698047,0.000556353,0.000292817,0.02673421,0.000190331,0.000483148,0.001083424,0.00033674,0.00118591,0.000117365,0.002560021,0.169687589,0.000865566,0.754392013,0.001540414
AWGB16SAA2212663-12-15,69,Healthy,0.207055717,0.000327694,0.301272389,0.002434297,0.002387484,0.000880092,0.020934957,0.000870729,0.002818167,0.000177891,0.004100855,0.000252792,0.252680068,0.070398008,0.085911972,0.000852004,0.002031702,0.010242774,0.001076708,0.0000562,0.031739493,0.000187254,0.000327694,0.000159166,0.000205979,0.000617937,0.0000866,0.00212079,0.058464548,0.03,0.870060507,0.002250634
AWGB16SAA2212665-12-17,70,Healthy,0.223295873,0.000323105,0.388705459,0.006058219,0.0023829,0.00027262,0.007754521,0.001534749,0.000434172,0.000979412,0.005775503,0.0000303,0.265592342,0.029422753,0.036571452,0.000999606,0.000262523,0.012479932,0.003927746,0.0000303,0.008693545,0.000141358,0.000424075,0,0.003049304,0.000858248,0.000142941,0.001617024,0.010809942,0.002001179,0.89953008,0.000223346
AWGB16SAA2212667-13-11,71,Healthy,0.294114626,0.000398007,0.392101479,0.003556389,0.000873048,0.0000385,0.001720419,0.001925842,0.005918755,0.001001438,0.006676253,0.000179745,0.24658484,0.000385168,0.019605074,0.000590592,0.003582067,0.013211278,0.004994351,0.0000899,0.000590592,0.000102712,0.000410846,0.000077,0.000205423,0.001065633,0.000114915,0.002925915,0.004578925,0.002687245,0.905725424,0.001387821
AWGB16SAA2212669-13-13,72,Healthy,0.512740912,0.000328456,0.150962588,0.005912207,0.001493945,0.000328456,0.001546922,0.001578708,0.000190716,0.001112512,0.006060542,0.00013774,0.24621481,0.000190716,0.049639228,0.0009112,0,0.01306407,0.00360242,0.0000424,0.0000848,0.002172047,0.000508577,0.0000424,0.000243693,0.00089001,0.000111197,0.001493213,0.043573227,0.032795088,0.84178296,0.000460672
AWGB16SAA2212671-13-15,73,Healthy,0.316310035,0.000455588,0.479939451,0.007686203,0.003336077,0.000396802,0.002204456,0.002086885,0.000308624,0.001366763,0.00781847,0.00016166,0.113676445,0.000308624,0.03837223,0.001381459,0.000132267,0.015019693,0.001249192,0.0000882,0.005305391,0.0000882,0.000411498,0.000352713,0.00032332,0.001219799,0.000124875,0.001082251,0.009315684,0.001748252,0.901540127,0
AWGB16SAA2212673-13-17,74,Healthy,0.379063536,0.000546506,0.117551654,0.009079049,0.003772654,0.000546506,0.001903956,0.002626754,0.000352584,0.001956844,0.010013398,0.000141034,0.43359072,0.000564135,0.004407306,0.001639518,0.0000529,0.019550807,0.00703406,0.0000529,0.002009731,0.000652281,0.00089909,0.0000353,0.00045836,0.001498484,0.000117533,0.003164357,0.006111729,0.053088864,0.920782591,0.000271231
AWGB16SAA2185995-11-12,1,Healthy,0.209898406,0.000838848,0.183940721,0.000186411,0.000652437,0,0.000233013,0.0000932,0.000932053,0.001165067,0.003168981,0.000139808,0.59632771,0,0.000512629,0.000139808,0.0000932,0.000186411,0.000186411,0.000372821,0.000326219,0.000279616,0.000233013,0,0,0.0000932,0.000017,0.000315355,0.00027274,0.0275,0.969606573,0
AWGB16SAA2185997-11-14,2,Healthy,0.097261338,0.000631252,0.662474507,0.00043702,0.000485578,0.000145673,0.000534136,0.00067981,0.007283675,0.00043702,0.000145673,0.0000971,0.220306886,0.000194231,0.001311061,0.000194231,0.002136545,0.000194231,0.000145673,0.000242789,0.003010586,0.000194231,0.000631252,0,0.00067981,0.000145673,0.0000369,0.000258271,0.000282868,0.000332,0.992571639,0.0000369
AWGB16SAA2185999-11-16,3,Healthy,0.4250698,0.000239804,0.365649783,0.000325448,0.004282215,0.000548124,0.000805056,0.000222675,0.003408643,0.000428222,0.000582381,0.000239804,0.189650743,0.0000514,0.00104486,0.000171289,0.000188417,0.000308319,0.000137031,0.000171289,0.001661499,0.001575855,0.000650897,0,0.000668026,0.001918432,0.0000283,0.000120248,0.00020513,0.000467,0.532806598,0
AWGB16SAA2186001-11-18,4,Healthy,0.218064751,0.0000911,0.023051692,0.000182227,0.000182,0,0,0.0135,0.000516309,0.001791897,0.000364,0.000152,0.723835267,0.000243,0.000364454,0,0.0000911,0.000151856,0.016370042,0.0000911,0.000668165,0,0.0000607,0,0.0000607,0.000121,0.000153186,0.0011106,0.004097733,0.000191483,0.972847733,0
AWGB16SAA2186003-12-12,5,Healthy,0.129246347,0.000139282,0.039235623,0.0000836,0.0000627,0.0000139,0.0000487,0.000160174,0.000599,0.000313,0.000146246,0.0000418,0.828607045,0,0.0000418,0.0000766,0.0000557,0.000236779,0.000167,0.0000418,0.000501414,0,0.0000348,0,0.0000766,0.0000696,0.0000513,0.000184612,0.0000513,0.000277,0.965959673,0.0000308
AWGB16SAA2186005-12-14,6,Healthy,0.583155585,0.000807484,0.115607289,0.0025291,0.016591505,0.011228594,0.019090133,0.000289475,0.088670851,0.000533244,0.000518008,0,0.143396916,0.000167591,0.003808885,0.000304711,0.005347675,0.000594186,0.000198062,0.000106649,0.005698093,0.0000305,0.000289475,0,0.000746542,0.000289475,0,0.000199574,0.0000641,0.000213829,0.97071255,0.0000356
AWGB16SAA2186007-12-16,7,Healthy,0.085357078,0.000426907,0.110007928,0.000121974,0.000280539,0.0000854,0.0000854,0.000121974,0.000975788,0.000561078,0.001390498,0.000061,0.786412149,0,0.001988169,0.000158566,0.000061,0.0000366,0.0000488,0.0000488,0.000317131,0.0000244,0.007135452,0.001305117,0.002768799,0.000219552,0.000206825,0.006618407,0.00237849,0.006411582,0.950465357,0.000206825
AWGB16SAA2186019-14-12,8,Healthy,0.31984789,0.000441609,0.530372915,0.000122669,0.0000981,0.0000981,0.0000736,0.000220805,0.000490677,0.000319,0.000736016,0.000220805,0.143253189,0.000368008,0.000147,0.000171737,0.0000981,0.001594701,0.000392542,0.000172,0.000368008,0.000147203,0.0000491,0,0.000196,0,0.001123225,0.000117821,0.0000628,0.00153167,0.995412844,0
AWGB16SAA2186021-14-14,9,Healthy,0.595564661,0.00058809,0.029537306,0.021057424,0.004116632,0.004875458,0.001062357,0.00582399,0.009257678,0.000379413,0.020469334,0.000170736,0.250924819,0.000341472,0.00030353,0.002105742,0.00204883,0.040597196,0.006791494,0.000189707,0.002504126,0.000113824,0.000265589,0.0000379,0.000815738,0.0000569,0.000100715,0.001858651,0.000430328,0.0000732,0.995440354,0.0000183
AWGB16SAA2186023-14-16,10,Healthy,0.034270862,0.0001444,0.053925265,0.000385066,0.000625732,0.0000642,0.000160444,0.000336933,0.003401415,0.00040111,0.000705954,0.000208577,0.899690343,0.000465288,0.001540263,0.000160444,0.000288799,0.001572352,0.000609688,0.000208577,0.000208577,0.000256711,0.0000481,0.000128355,0.0001444,0.0000481,0.0000623,0.000361492,0.000211909,0.000125,0.927514553,0
AWGB16SAA2186025-14-18,11,Healthy,0.088858478,0.000589873,0.161625218,0.000542683,0.000542683,0,0.000637063,0.00143929,0.007762729,0.000212354,0.002831391,0.000495493,0.724529281,0.000542683,0.000259544,0.000188759,0.003916757,0.001250531,0.000967392,0.000165164,0.000731443,0.0000472,0.000731443,0,0.000589873,0.000542683,0.000116207,0.0000951,0.000338056,0.00027467,0.989794948,0
AWGB16SAA2186029-15-14,12,Healthy,0.082625341,0.003004835,0.193392413,0.002150669,0.000915178,0.000549107,0.000655878,0.002791294,0.005765623,0.002043898,0.004758927,0.001479538,0.678208081,0.001174479,0.000320312,0.008480652,0.000198289,0.003523436,0.003508183,0.00112872,0.000137277,0.001265997,0.000686384,0.0000915,0.000762649,0.000381324,0.0000313,0.012594353,0.0000834,0.0231,0.894146962,0.0000209
AWGB16SAA2186031-15-16,13,Healthy,0.193385827,0.000561024,0.239438976,0.000580709,0.000226378,0.000255906,0.008454724,0.000728346,0.002598425,0.000383858,0.000807087,0.0000886,0.532253937,0.001604331,0.000324803,0.000403543,0.000374016,0.000492126,0.000374016,0.000108268,0.013287402,0.000354331,0.00121063,0,0.000541339,0.001161417,0,0.000529778,0.0000986,0.0000862,0.657504374,0
